Head,Message,Type
kill COVID-19., A website claiming that China has confirmed that patient zero had sex with a bat.,Fake
coronavirus in cow urine., Tea can cure coronavirus.,Fake
coronavirus.," WhatsApp group admins were detained for sharing coronavirus messages in Dadar, Mumbai.",Fake
coronavirus pandemic., Turmeric And Lemon Help Fight Against coronavirus.,Fake
 coronavirus., Worst affected countries by coronavirus are along the same latitude.,Fake
under quarantine., Corpses are strewn in China due to coronavirus.,Fake
 Indian State of Kerala’s government, Justin Trudeau’s wife has released a video from hospital bed.,Fake
 COVD19 in the country.," Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",Fake
sharing information related to the coronavirus , Italian PM broke down over coronavirus deaths in his country.,Real
Photo viral arm burned, Not a single Muslim died of Coronavirus in China.,Fake
Coronavirus patients," Indian Daily Reports That Wife Of A Positive Patient Ran Away, did not comply with the authorities and tested positive.",Fake
contracted coronavirus, Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country.,Fake
contracted coronavirus, Video of Police strictly implementing lockdown in Spain.,Fake
 Coronavirus outbreak., Scientists have found that drinking bitter gourd juice can cure Coronavirus.,Fake
 coronavirus fear., Pope Francis ran away at a public meeting due to coronavirus fear.,Fake
coronavirus patients., China is planning to kill coronavirus patients.,Fake
Most affected countries by COVID-19 , Most affected countries by COVID-19 are along the same 40-degree North latitude.,Fake
A claim that all fruit and vegetable markets in the Indian city ," A claim that all fruit and vegetable markets in the Indian city of Chennai and across the state of Tamil Nadu have been ordered to close in an effort to curb the spread of the novel coronavirus has been shared in multiple posts on Facebook, WhatsApp and Twitter.",Fake
WhatsApp forward," A WhatsApp forward is doing the rounds in groups and is attributed to CNN. claiming Dr. ‘Li Wenliang’ who was the whistleblower of the Chinese government’s propaganda about COVID-19, has documented a research report. According to this report, chemicals like ‘Methylxanthine, Theobromine and Theophylline’ stimulate compounds that can ward off this virus in a human body with at least an averagely performing immune system.",Fake
 coronavirus patients, Photos of coronavirus patients being treated on the road in Italy.,Fake
 coronavirus patients, Coronavirus patients in China are being caught by officials on a highway.,Fake
coronavirus outbreak., Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
 Image of COVID19 infected Indonesian," Image of COVID19 infected Indonesian doctor Hadio Ali watching his daughters from a distance as he bids them final goodbye, the image is said to be posted by his wife.",Fake
free mask, Narendra Modi is giving free masks in India.,Fake
Video viral crackdown, Video shows bat infestation under a tiled roof claims to be the source of coronavirus in China’s Hubei.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, A Chinese SWAT Team takes down a coronavirus suspect,Fake
Coronavirus, China Seeks Court’s Approval To Kill 20000 coronavirus Patients.,Fake
kill COVID-19., Inhaling the steam of sea salt and orange peelings can prevent coronavirus infection.,Fake
coronavirus in cow urine., Dettol sanitizer kills coronavirus and the company knew about the existence of the virus before the outbreak of the virus in China.,Fake
coronavirus., India Announced Holidays for 4 States.,Fake
coronavirus pandemic., Donald Trump attending the recital of Quran verses to fight coronavirus.,Fake
 coronavirus., Chinese Intelligence Officer Reveals coronavirus is a Bioweapon.,Fake
under quarantine., People were screaming in Wuhan because they feared the coronavirus.,Fake
 Indian State of Kerala’s government," Last Photo of Indonesian doctor,Hadio Ali standing away from his family before he passed away due to COVID-19",Fake
 COVD19 in the country.," Video showing Massive Explosion in Wuhan, China to control the spread of coronavirus.",Fake
sharing information related to the coronavirus , Israel has manufactured the coronavirus (COVID-19) vaccine,Fake
Photo viral arm burned, Dolphins and swans return to Italy waterways after COVID-19 lockdown.,Real
Coronavirus patients," Photo of an Indonesian doctor, Hideo Ali, looking at his children and pregnant wife for the last time.",Fake
contracted coronavirus," Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India).",Fake
contracted coronavirus, Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
 Coronavirus outbreak., An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including 3 doctors.,Fake
Video of Al-Aqsa mosque a, Video of Al-Aqsa mosque after Israel allows photography inside it.,Fake
Spread Of coronavirus., Consuming Large Doses Of Vitamin C Can Stop The Spread Of coronavirus.,Fake
Video viral crackdown," A video has been viewed thousands of times on Facebook, Twitter, Instagram and YouTube in March 2020 alongside a claim that it shows police in Spain detaining people during a lockdown due to the coronavirus pandemic.",Fake
he viral forward also claims that the treatment for coronavirus," A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name",Fake
Effected of coronaviruas, Lemon and bicarbonate can cure coronavirus.,Fake
Photo," An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.",Fake
cure coronavirus., Cow dung and cow urine can cure coronavirus.,Fake
 Coronavirus and did not help India at all., Indian actor Shah Rukh Khan donated money to Pakistan to fight Coronavirus and did not help India at all.,Fake
Photo, Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
India, India asked for restriction of movement.,Fake
Coronavirus, Coronavirus fear in Germany results in large crowds outside a supermarket. People pushing each other to get into store first to get necessary supplies.,Fake
cure coronavirus., Coronil drops can help cure coronavirus.,Fake
Coronavirus, Coronavirus dies at a temperature above 26 – 27 degrees Celcius as per UNICEF.,Fake
Coronavirus, Posting anything on coronavirus will be a punishable offence because Disaster Management Act has been implemented.,Fake
 coronavirus scare., Chinese Prime Minister offering namaz amid coronavirus scare.,Fake
Covid-19, After COVID-19 outbreak in europe Muslims and non-Muslims have come out in the streets shouting praises for Allah and reading Kalma.,Fake
Audio alert," Two audio clips stating that the Mumbai police commissioner is going to enforce strict actions during the 21 day lockdown in India and that there will be a spike in cases after March 27, 2020.",Fake
Whatsapp alert, A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in an Intermediate Zoology book.,Fake
 Riots in London due to the unavailability of food items, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
 COVID-19 vaccine ," A WhatsApp forward is doing the rounds claiming that the COVID-19 vaccine is ready and as announced by US President Donald Trump, it will be launched next Sunday. It also claims that the vaccine discovered by the US scientists can cure a COVID-19 infected patient within 3 hours. With the WhatsApp forward, the alleged image of the vaccine is also being shared.",Fake
spread coronavirus, People sneezing purposefully to spread coronavirus at Hazrat Nizamuddin mosque in Delhi.,Fake
coronavirus patients., Chinese Police crackdown on suspected coronavirus patients.,Fake
Photo," Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government.",Fake
WHO confirms COVID-19 , WHO confirms COVID-19 is airborne and remains in air for 8 hours.,Fake
effected to bank, Reserve Bank of India (RBI) extended the year closing till 30 June 2020.,Fake
Video viral crackdown, A video of fire is shared with the claim that a fire erupted at Solapur Airport in Maharashtra state due to firecrackers on 5 April at 9 pm.,Fake
 positive Coronavirus cases , There are 59 positive Coronavirus cases in Nagpur along with 3 doctors one of whom is on ventilator.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Xi Jinping visits mosque for coronavirus.,Fake
Coronavirus, Saddam Hussein predicted coronavirus outbreak 40 years ago.,Fake
kill COVID-19., PM Modi announced internet suspension due to viral fake news related to COVID-19.,Fake
coronavirus in cow urine., Donald Trump announced a vaccine by Roche Diagnostics.,Fake
coronavirus., WHO advisory asks people not to consume bakery items as they get contaminated by coronavirus easily.,Fake
coronavirus pandemic., Post On coronavirus Outbreak Attributed To Health Ministry Advisory.,Fake
 coronavirus., An image of a baby born with deformities claims that the baby was suffering from Coronavirus.,Fake
under quarantine., Italian President breaks down and surrenders in front of COVID-19 epidemic.,Fake
 Indian State of Kerala’s government, A video shows a truck dropping bodies covered with plastic into a ditch and claiming that this is the situation in Italy right now.,Fake
 COVD19 in the country., People rioting on the streets of London due to economic crisis in the wake of coronavirus outbreak.,Real
sharing information related to the coronavirus , Coronavirus will be cured after a 14 hours curfew.,Fake
Photo viral arm burned, A herd of Deer reclaimed the Ooty-Coimbatore road.,Fake
Coronavirus patients, Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
contracted coronavirus, Coronavirus found in broiler chicken.,Fake
contracted coronavirus, American scientists have developed a cure for Coronavirus.,Fake
 Coronavirus outbreak.," A claim that India’s Ministry of Home Affairs has made it a “punishable offence” for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook, Twitter and WhatsApp.",Fake
Police Publicly Kill A coronaviru, Police Publicly Kill A coronavirus-Infected Woman In China.,Fake
WHO Has Issued Advisory, WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China,Fake
Tablighi , A Facebook user uploaded a video showing a man inside a police van spitting on a cop. The post claimed that this video is a proof that Tablighi community is spreading coronavirus in India.,Fake
contracted Coronavirus, Iranian girl Anahita Hashemzadeh has contracted Coronavirus.,Fake
 The viral post claims, The viral post claims that Aajtak news channel shows lockdown is withdrawn at few places while India Today news channel shows it is extended till May 4.,Fake
 coronavirus before his death.," Pakistani doctor, Usman Riaz speaks about coronavirus before his death.",Fake
 COVID-19, Video of a man who committed suicide in US due to COVID-19,Fake
 hotels to be turned into quarantine centres, Cristiano Ronaldo’s hotels to be turned into quarantine centres in Portugal.,Fake
coronavirus., A video of Pigs being buried in China with is related to the coronavirus.,Fake
coronavirus.," Details of three Coronavirus positive cases reported in Kothapet (Hyderabad, India).",Fake
coronavirus., Cocaine kills coronavirus.,Fake
coronavirus.," Indian Army has constructed an advanced hospital with a capacity of 1,000 beds in Barmer, Rajasthan, to cope up with COVID-19.",Fake
 An Indian politician claimed, An Indian politician claimed that the strain of coronavirus in India is less virulent mutation.,Fake
coronavirus, Australian researchers have found that bananas can help prevent infection of COVID-19.,Fake
coronavirus," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
 Brazilians observed Indian Prime Minister Narendra Modi, The Asterix comic books and the Simpsons predicted the coronavirus outbreak.,Real
Coronavirus, Italian President said that Italy has surrendered to the Coronavirus.,Fake
kill COVID-19., A video claiming to be of Canadian Prime Minister Justin Trudeau’s wife Sophie Grégoire Trudeau who is infected with Coronavirus.,Fake
coronavirus in cow urine., A video is being shared on various social media platforms and in WhatsApp groups in which a person allegedly infected with COVID-19 can be seen lying unconscious on the ground and shaking violently.,Fake
coronavirus.," Video Of An Indonesian Traditional Market Trending Viral As Wuhan, China.",Fake
coronavirus pandemic., CDC recommends people to shave their facial hair to prevent coronavirus.,Fake
 coronavirus., An audio clip suggests that the WHO has advised a lockdown.,Fake
under quarantine., Vladimir Putin let lions loose in the streets of Russia to keep them indoors during COVID-19,Fake
 Indian State of Kerala’s government, Cuba sent 200.000 doctors across the world to help nations fighting against COVID-19 Pandemic.,Fake
 COVD19 in the country., Netflix and Amazon are offering free subscription amid the coronavirus outbreak.,Fake
sharing information related to the coronavirus , China is seeking court’s approval to kill all who were tested positive with coronavirus.,Fake
Photo viral arm burned," In India from 24th March 2020 during lockdown all grocery, milk, chemist, vegetable shops will be open from 9.00 am to 11.30 am in the morning and 4.30 pm to 7.00 pm in the evening. Anybody found moving around after this or opening any kind of outlet will be strictly detained by the police. It also claims that no home deliveries will be available.",Fake
Coronavirus patients, People in Italy have thrown all of their money on the roads outside saying that this money is useless to save them from death.,Fake
contracted coronavirus," In the video, the woman who is asking to take coronavirus seriously is the wife of the Prime Minister of Canada.",Fake
contracted coronavirus," India’s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon.",Fake
 Coronavirus outbreak., “Only India can resist CoronaVirus.”- Saudi Crown Prince Mohammad Bin Salman.,Fake
COVID-19 outbreak., India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.,Fake
Staff of Gold Coast Hospital in Australia , Staff of Gold Coast Hospital in Australia has gifted a volleyball to Tom Hanks in quarantine.,Fake
#COVD19 in the country., Chinese converting to Islam after realising that no muslim was affected by #coronavirus #COVD19 in the country.,Fake
WORLD HEALTH ORGANISATION, “WORLD HEALTH ORGANISATION PROTOCOL  &PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING  ON MOST DANGEROUS VIRUS,Fake
 Coronavirus outbreak., Coronavirus patients in China are being caught by officials on a highway.,Fake
Video viral crackdown, A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,Fake
 COVID-19 pandemic., Italian PM said that the country has surrendered to the COVID-19 pandemic.,Fake
 Coronavirus outbreak., Coronavirus was found in meat (mutton).,Fake
20000 infected cases., China asks for permission to kill 20000 infected cases.,Fake
COVID-19 experience., Sophie Trudeau is sharing her COVID-19 experience.,Fake
Tablighi Jamaat," People of the Muslim community have prohibited visiting Mecca Medina to avoid the outbreak of coronavirus, but people of Sanatan religion are playing Holi at the crematorium of Kashi Vishwanath as a pyre.",Fake
Photo, Image of the people who died of coronavirus in Italy.,Fake
coronavirus, Prince Charles infected with coronavirus after meeting Indian singer Kanika Kapoor.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, COVID-19 passengers being disembarked at Senegal airport.,Fake
Coronavirus, Books Predicted The coronavirus Before it happened.,Fake
kill COVID-19., WHO declared COVID-19 to be the abbreviation for China Outbreak Virus In December 19.,Fake
coronavirus in cow urine., Inhalation of hot steam can kill Novel Coronavirus.,Fake
coronavirus., COVID-19 patients will not show symptoms for the first 14 days.,Fake
coronavirus pandemic., New confirmed cases of COVID-19 in Kolkatta reported by Press trust of India.,Fake
 coronavirus., Indian State of Gujarat’s government constructed hospital for COVID-19 patients with 2200 beds in just 6 days.,Fake
under quarantine., Garlic water prevents the novel coronavirus as proved by an old Chinese doctor.,Fake
 Indian State of Kerala’s government, A new born baby suffering from birth defects predicted that using Turmeric can cure Coronavirus in India.,Fake
 COVD19 in the country., Italians threw away their currency on the streets due to COVID-19 deaths.,Fake
sharing information related to the coronavirus , Tamil Nadu Govt ordered to re-open TASMAC bars.,Fake
Photo viral arm burned, Lockdown in India extended till May 8th.,Fake
Coronavirus patients, Homeopathic drug ‘Arsenicum album 30’ can be used to prevent coronavirus.,Fake
contracted coronavirus, A Shaheen Bagh protestor in India was claimed to have coronavirus.,Fake
contracted coronavirus, Indian Government snooping messages over social media and all social media platforms wll be monitored for COVID-19 messages,Fake
 Coronavirus outbreak., Hot air application through hairdryer will beat coronavirus.,Fake
Prime Minister," Rotis hailing PM Modi shared in Madhya Pradesh, India during lockdown.",Fake
Sick COVID-19 patients , Sick COVID-19 patients at the airport runway in Senegal.,Fake
"A Pakistani doctor, Dr Osama Riaz’s last message for you"," A Pakistani doctor, Dr Osama Riaz’s last message for you (while taking his last breath).",Fake
COVID19 concerns., Image of bakery items with the WHO logo and a message which given the impression that WHO had advised the public not to consume bakery products amidst COVID19 concerns.,Fake
Covid19 lockdown.," Trupti Desai, a well known social activist from India, was arrested for illegally buying liquor during the Covid19 lockdown.",Fake
 Indian Army," Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
Photo viral arm burned, Images of public beating police officers enforcing lock down in the indian state of U.P,Fake
 Italian police are being brutal on people ," Italian police are being brutal on people not following lockdowns, India should follow.",Fake
Petrol companies have reduced," Recently, Petrol companies have reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",Fake
Family Welfare as issued , Indian Ministry of Health and Family Welfare as issued an office memorandum declaring compulsory holiday in four Indian states.,Fake
coronavirus., Hot water gargle can prevent coronavirus.,Fake
coronavirus patients., The viral image is of a doctor couple in Italy who gave their lives treating coronavirus patients.,Fake
Photo posts claiming a person committing suicide," Photo posts claiming a person committing suicide by jumping from a building in Italy, Doctor couple in a Italian hospital few hours before their death and chaos in an Italian hospital amid COVID19",Fake
Demon creature flying, Demon creature flying above a Church in Italy.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi," Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus.",Fake
Coronavirus, Hot air from hair dryers can kill Coronavirus.,Fake
kill COVID-19., COVID-19 was known to humans before its outbreak in 2020.,Fake
coronavirus in cow urine., The Netflix Korean drama My secret terrius predicted the Coronavirus outbreak in 2018.,Fake
coronavirus., Holding your breath can test for COVID-19.,Fake
coronavirus pandemic., New Confirmed Case Of coronavirus In The Macarthur Region of Australia!,Fake
 coronavirus., Eating salt on the onion will eliminate the coronavirus.,Fake
under quarantine., Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19.,Fake
 Indian State of Kerala’s government, Indian Army has built 1000 Bed quarantine facility for COVID-19,Fake
 COVD19 in the country.," Finally India got its Coronavirus Dashboard. This is the official website for CORONA updates. This website is being updated every 4 hrs. You can scroll down for more details, you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.",Fake
sharing information related to the coronavirus , India spraying pesticides at night to prevent COVID-19.,Fake
Photo viral arm burned, Central government has announced blanket holiday for schools/colleges in 4 states in India.,Fake
Coronavirus patients, Pigs mulled in China blamed for coronavirus.,Fake
contracted coronavirus, Facebook post claimed that the pigs are being burnt alive in China to control Coronavirus.,Real
contracted coronavirus, Video of police killing COVID-19 affected people in China.,Fake
 Coronavirus outbreak., There is now a COVID19 cure from USA.,Fake
 COVID19 Lockdown, Amid COVID19 Lockdown Food being distributed in Indian State of Tamil Nadu.,Fake
 coronavirus , Celebrities spreading misinformation about coronavirus and the Janata curfew in India.,Fake
 coronavirus , Video of goats affected by Coronavirus.,Fake
A 20-second clip shows , A 20-second clip shows a burqua clad woman having difficulty breathing.,Fake
remove coronavirus., Gargling with lukewarm water mixed with salt/vinegar will remove coronavirus.,Fake
Coronavirus Discovered, Coronavirus Discovered In Broilers Chicken.,Fake
Covid-19," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
 Indian Government Has Issued," Indian Government Has Issued A Guideline To Monitor Citizens Activity, their call and social media handles will be under surveillance.",Fake
cure coronavirus., Sitting in the sunlight will help cure coronavirus.,Fake
 light lamp on 5th April 2020., Image of Kerala CM Pinarayi Vijayan following PM Modi’s appeal to light lamp on 5th April 2020.,Fake
coronavirus patients, Football player Cristiano Ronaldo turned all his hotels into hospitals to help coronavirus patients and is paying doctors and the staff.,Fake
 COVID-19., Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, The video shows Muslims licking plates and spoons to spread the coronavirus.,Fake
Coronavirus, Actor Vijay donated 3 billion (300 crore) rupees for coronavirus relief.,Fake
kill COVID-19.," The Disaster Management Act 2005 is going to be implemented in India, according to which no citizen is allowed to post any update or share any forward related to COVID-19.",Fake
coronavirus in cow urine.," A viral video showcasing an emergency treatment of a COVID-19 patient in Maharasthra, an Indian State. The video is shared in the names of different cities of Maharashtra.",Fake
coronavirus.," Reliance Jio, one of the biggest telecom networks in India is providing Internet for free during COVID-19",Fake
coronavirus pandemic.," In the 30-sec viral video, a man lifts his shirt and challenges police officer who is pointing gun at him. Another police officer kicks the man from behind, pins down him on the road and makes arrest. The text overlaid on the video reads “Italy says lockdown they mean it”.",Fake
 coronavirus.," Image of deers roaming in Pudukkottai, Tamil Nadu.",Fake
under quarantine., Image of dead bodies of coronavirus victims in Italy.,Fake
 Indian State of Kerala’s government," Images showing vaccines for Coronavirus have already been discovered, were patented and will be readily available.",Fake
 COVD19 in the country., Photos of Italian man committing suicide after he lost his entire family to COVID-19.,Fake
sharing information related to the coronavirus , A video purporting that an attack on doctors was avenged by police men.,Fake
Photo viral arm burned, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
Coronavirus patients, Muslims Intentionally Licking The Cutlery And Plates to spread COVID-19.,Fake
contracted coronavirus, Gargling With Warm Salt Water Can Save From coronavirus.,Fake
contracted coronavirus, Coronavirus has gripped Italy with nobody willing to carry corpses off Italy’s streets.,Fake
 Coronavirus outbreak., Another new disease called ‘Hanta virus’ in China.,Fake
Effected of coronavirus, Broiler chickens were found to have coronavirus in Mumbai.,Fake
Photo viral arm burned," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
Video viral crackdown," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
 kill coronavirus., Banglore Municipal body (BBMP) will be spraying medicine in the air to kill coronavirus.,Fake
cure Coronavirus., Aajtak news channel has run a news claiming that consuming a herbal plant ” Tulsi” will cure Coronavirus.,Fake
 Indian Government and World Health Organization , Indian Government and World Health Organization advised people to not purchase colours from China for Holi.,Fake
 lockdown (COVID-19)., Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
COVID-19 patients., A video shows Chinese police crackdown on suspected COVID-19 patients.,Fake
 coronavirus with military helicopters., Oman is releasing special chemical into the sky to eradicate coronavirus with military helicopters.,Fake
coronavirus Patients, China Seeks Court’s Approval To Kill 20000 coronavirus Patients.,Fake
Cabbage," WHO has said, do not eat Cabbage as it will increase the chance of Coronavirus infection.",Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Video of whales spotted near Bombay High,Fake
Coronavirus, China is supplying Quran to people to read after the Coronavirus outbreak.,Fake
kill COVID-19.," Aaj Tak telecasted a news in which the Chinese PM said, ‘Reading Quran and offering namaz is the only cure for COVID-19’.",Fake
coronavirus in cow urine.," A viral video showing some men assaulting a policeman is being shared with the claim that it is from Agripada, Mumbai (INDIA).",Fake
coronavirus., News channels suggests drinking tulsi and noni juice will help prevent the Novel coronavirus.,Fake
coronavirus pandemic., A video has been viewed thousands of times on Facebook and Twitter alongside a claim that it shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.,Fake
 coronavirus., Janta curfew or nation wide for 14 hours will break the chain of coronavirus spread and see reduction of 40 per cent cases.,Fake
under quarantine., Bombay High Court is extending Maharashtra’s lockdown to April 31.,Fake
 Indian State of Kerala’s government, Saint Luke’s Hospital of USA says that consuming alcohol can reduce the risk of COVID-19.,Fake
 COVD19 in the country., WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China.,Fake
sharing information related to the coronavirus , With self-checkup you can find out if you are infected with coronavirus.,Fake
Photo viral arm burned, Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon.,Fake
Coronavirus patients, Audio clip of a conversation claiming that Government of India will announce shutdown of the country in the coming days from 15 April to 15 June in the wake of Coronavirus outbreak,Fake
contracted coronavirus, Indian Police personel beaten by a person while enforcing lockdown. Claim made through an image.,Fake
contracted coronavirus," The Ethiopian Airlines flight from Italy this evening to Addis Ababa airport. Most of the passengers are infected with the virus, and there is no strength except in God.",Fake
 Coronavirus outbreak., Can dettol kill coronavirus?,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, A video showing a playful deer on the beach is claimed to be from an Indian village during a lockdown.,Fake
Coronavirus, This photos show Indians bathing in cow dung to prevent infection.,Fake
kill COVID-19., Over 500 years of Adhan (The Islamic Call to Prayer) ban lifted in Spain amid coronavirus.,Fake
coronavirus in cow urine., Bollywood superstar Aamir Khan donated Rs. 250 crore to tackle the novel coronavirus outbreak.,Fake
coronavirus.," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
coronavirus pandemic., This is the video of Conress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out.,Fake
 coronavirus., Inhalation of hot steam can kill Novel Coronavirus.,Fake
under quarantine.," A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus, COVID-19.",Fake
 Indian State of Kerala’s government, Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
 COVD19 in the country., Indian Singer Kanika Kapoor met Prince Charles after which he tested positive for coronavirus.,Fake
sharing information related to the coronavirus , A video showing a pile of corpses in Italy.,Fake
Photo viral arm burned, WHO has released “protocols and procedures” of lockdown periods to fight Covid-19.,Fake
Coronavirus patients, New vaccine can help cure coronavirus in three hours.,Fake
contracted coronavirus, Video is of Canadian PM Justin Trudeau’s wife who is suffering from COVID-19.,Real
contracted coronavirus, Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the Novel coronavirus.,Fake
 Coronavirus outbreak., Shopping malls crowded in Italy during the pandemic.,Fake
Video viral crackdown, Video of police in China taking into control suspected COVID-19 patients in the country.,Fake
Photo viral arm burned, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
COVID-19., Indian Home Minister Amit Shah claimed to be infected COVID-19.,Fake
Photo viral arm burned, Viral video shows a man having great difficulty breathing. Even the medical team keeps a safe distance from this man. These videos are shared as patient suffering from COVID-19.,Fake
coronavirus., Pope Francis contacted coronavirus.,Fake
Video viral crackdown, Video of the new hospital set up by China for coronavirus patients.,Fake
eliminate coronavirus., Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,Fake
Tablighi Jamaat, Muslim youth is spreading COVID-19 by licking plates in Nizzamuddin Markaz in India.,Fake
cure coronavirus., AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Fake
coronavirus next Sunday., Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,Fake
One can get free masks from the government to fight coronavirus, One can get free masks from the government to fight coronavirus by filling this form in the web link.,Fake
WHO reported that Coronavirus ," WHO reported that Coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",Fake
 People burning candles on top of their head, People burning candles on top of their head after PM Modi’s nationwide appeal to light a candle on 5th April 2020 at 9pm for minutes.,Fake
 coronavirus., Ministry of Home Affairs in India has directed people to not post anything related to coronavirus.,Fake
Photo viral arm burned, Image of Indian police officer beating street children for not abiding lockdown.,Fake
People in Wuhan locked inside their houses, People in Wuhan locked inside their houses trying to escape building fire.,Fake
Photo viral arm burned, A picture claiming that an Italian man committed suicide after his whole family succumbed to COVID-19,Fake
Viral video, Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19.,Fake
Covid-19, News about COVID-19 can only be shared after seeking the government’s permission.,Fake
Coronavirus, Coronavirus found in Broiler Chicken.,Fake
 COVID positive cases., Staff of two Mumbai hotels have COVID positive cases.,Fake
 positive for coronavirus," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
cure coronavirus., European Health Organization (EHO) announced that eating beaf can cure coronavirus.,Fake
 kill coronavirus., Government to spray medicine in the air overnight to kill coronavirus.,Fake
Effected of coronavirus, Drinking bitter gourd juice cures Coronavirus,Fake
Coronavirus outbreak., Recent photo of PM Modi visiting a Church and offering prayers to save the country from the Coronavirus outbreak.,Fake
 COVID-19 on WhatsApp , Indian Home ministry declares posting about COVID-19 on WhatsApp groups a punishable offence.,Fake
Curfew in Janta," Curfew in Janta, India will help break the chain of transmission.",Fake
 500 lions in order to ensure that people stay, Russia has allegedly unleashed over 500 lions in order to ensure that people stay inside their houses.,Fake
 Coronavirus," Due to the fear of Coronavirus, Muslims in China are offereing Namaz in the open street.",Real
public curfew., Russian government has unleashed lions on the streets to inpose public curfew.,Fake
Coronavirus," Seeing the rise of novel coronavirus in India, the World Health Organization (WHO) has recommended the government of India to lockdown the country from April 15 to June 15.",Fake
